Country or Area;Alpha-3 code;Year;Gross Domestic Product per capita, purchasing power parity (current international USD)
Rwanda;RWA;1990;552.96
Rwanda;RWA;1991;544.95
Rwanda;RWA;1992;576.88
Rwanda;RWA;1993;525.68
Rwanda;RWA;1994;313.62
Rwanda;RWA;1995;512.61
Rwanda;RWA;1996;498.38
Rwanda;RWA;1997;505.58
Rwanda;RWA;1998;539.13
Rwanda;RWA;1999;563.75
Rwanda;RWA;2000;617.05
Rwanda;RWA;2001;675
Rwanda;RWA;2002;762.21
Rwanda;RWA;2003;776.22
Rwanda;RWA;2004;834.62
Rwanda;RWA;2005;917.06
Rwanda;RWA;2006;1005.43
Rwanda;RWA;2007;1081.88
Rwanda;RWA;2008;1193.27
Rwanda;RWA;2009;1242.7
Rwanda;RWA;2010;1315.14
Rwanda;RWA;2011;1412.6
Rwanda;RWA;2012;1449.73
Rwanda;RWA;2013;1503.97
Rwanda;RWA;2014;1665
Rwanda;RWA;2015;1763.25
Rwanda;RWA;2016;1842.21
Rwanda;RWA;2017;1934.97
Rwanda;RWA;2018;2098.9
Rwanda;RWA;2019;2283.47
Rwanda;RWA;2020;2182.22
Rwanda;RWA;2021;2469
Rwanda;RWA;2022;2793.19
